Population,NAME,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,PopOver18,Ovr18White,Ovr18Blk_A,Ovr18AmInd,Ovr18Asian,Ovr18Haw_P,Ovr18Other,Ovr18TwoOr,Ovr18HispL,Male,Female,AGE0_4,AGE5_11,AGE12_14,AGE15_17,AGE18_24,AGE25_34,AGE35_44,AGE45_64,AGE65ovr,Families,Married,Married18,MaleHH,MaleHH18,FemaleHH,FemaleHH18,Housing,Occupied,Occ_Own,Occ_Rent,Vacant,Vac_Rent,Vac_Sale,Vac_Other
2087,Census Tract 202,1204,310,11,133,3,319,107,700,1773,1068,264,10,107,3,238,83,527,1134,953,134,108,34,38,314,631,357,349,122,341,193,78,67,22,81,40,1076,859,403,456,217,93,43,81
22,Census Tract 2506,17,1,0,0,0,4,0,5,20,17,1,0,0,0,2,0,3,10,12,0,1,1,0,0,3,4,9,4,4,3,1,0,0,1,0,13,10,6,4,3,3,0,0
3265,Census Tract 602,1209,1634,38,70,1,194,119,585,2425,1043,1074,29,53,1,155,70,435,1592,1673,284,325,120,111,394,830,430,592,179,663,293,128,83,27,287,164,1516,1132,530,602,384,152,64,168
3344,Census Tract 1509,71,3213,11,6,1,8,34,35,2631,54,2536,7,4,1,8,21,25,1544,1800,195,239,132,147,349,337,377,1016,552,830,331,90,97,32,402,137,1557,1277,803,474,280,97,40,143
3344,Census Tract 203,2824,148,15,171,3,82,101,243,3176,2702,142,15,169,3,67,78,196,1682,1662,89,45,11,23,317,1309,511,725,314,552,436,79,49,11,67,18,2529,2062,627,1435,467,247,46,174
2647,Census Tract 2608,1352,477,40,51,10,593,124,1006,2065,1186,288,36,50,10,418,77,728,1459,1188,246,187,74,75,324,537,385,541,278,516,226,93,111,40,179,87,1206,947,373,574,259,96,44,119
3749,Census Tract 2701.02,920,2676,10,20,1,27,95,65,2846,834,1909,9,20,1,18,55,41,1748,2001,217,345,174,167,362,453,601,1113,317,907,514,207,88,36,305,143,1604,1406,1126,280,198,41,44,113
2059,Census Tract 2502.07,60,1905,7,12,0,34,41,66,1477,49,1361,6,9,0,32,20,50,871,1188,236,219,62,65,304,339,194,464,176,503,128,45,59,27,316,191,937,864,140,724,73,59,2,12
2342,Census Tract 302,1265,789,8,165,0,53,62,147,1997,1188,554,7,157,0,51,40,121,1192,1171,147,134,30,34,218,714,354,527,205,447,252,70,31,13,164,88,1459,1135,432,703,324,132,45,147
2525,Census Tract 1604,24,2458,2,9,0,5,27,9,1892,20,1836,2,8,0,4,22,8,1219,1306,152,246,100,135,315,282,302,726,267,563,129,35,85,22,349,141,1727,862,331,531,865,61,26,778
3626,Census Tract 2501.01,311,3188,7,29,0,20,71,79,2680,291,2293,6,28,0,13,49,51,1593,2033,252,367,168,159,376,564,471,1027,242,949,390,157,91,44,468,265,1516,1403,854,549,113,74,13,26
1574,Census Tract 2804.02,19,1520,9,3,0,5,18,23,1284,16,1241,9,2,0,4,12,20,714,860,69,106,50,65,132,132,195,446,379,427,170,36,50,9,207,68,676,622,496,126,54,17,12,25
2508,Census Tract 801.02,56,2399,2,5,0,10,36,24,1740,55,1652,1,5,0,6,21,18,1162,1346,181,311,134,142,311,331,312,572,214,594,171,59,56,24,367,200,929,783,409,374,146,61,18,67
838,Census Tract 402,384,239,3,169,0,6,37,21,819,381,223,3,169,0,6,37,21,424,414,6,6,3,4,278,350,73,109,9,25,15,2,2,2,8,4,455,364,4,360,91,49,0,42
2141,Census Tract 2403,1968,67,0,64,2,11,29,63,1969,1808,65,0,61,2,9,24,52,1105,1036,97,60,8,7,320,843,326,339,141,346,291,95,20,3,35,10,1226,1114,585,529,112,52,28,32
2282,Census Tract 2008,262,1940,14,11,1,5,49,27,1679,229,1391,13,10,1,5,30,21,1061,1221,163,209,113,118,260,291,295,651,182,541,198,73,67,26,276,145,1024,842,449,393,182,52,17,113
4603,Census Tract 2709.03,386,4017,6,39,3,60,92,118,4020,351,3513,4,36,3,46,67,92,2103,2500,158,202,105,118,2017,456,321,862,364,685,321,105,71,29,293,124,1411,1299,745,554,112,56,18,38
3226,Census Tract 2801.01,170,2897,9,31,2,54,63,122,2549,147,2281,9,24,2,39,47,85,1450,1776,183,238,117,139,326,438,402,975,408,821,341,107,76,22,404,151,1452,1329,715,614,123,80,6,37
3823,Census Tract 2504.01,2422,901,22,107,0,189,182,547,2853,1954,606,14,83,0,124,72,383,1984,1839,349,354,128,139,377,668,544,954,310,841,439,189,131,68,271,151,1639,1373,624,749,266,134,55,77
2033,Census Tract 1202.01,1429,343,5,167,2,22,65,80,1785,1270,279,5,164,2,18,47,74,1028,1005,104,96,23,25,398,472,318,435,162,339,237,96,28,11,74,33,1090,945,510,435,145,79,21,45
2571,Census Tract 2404,2373,57,4,76,0,13,48,73,2322,2162,43,4,70,0,9,34,62,1262,1309,136,66,19,28,289,1009,374,435,215,505,387,113,38,10,80,24,1417,1280,810,470,137,51,37,49
2910,Census Tract 2501.02,241,2538,12,28,2,35,54,57,2170,217,1870,10,23,2,22,26,35,1312,1598,208,280,127,125,358,454,401,752,205,752,288,106,65,30,399,207,1294,1138,588,550,156,81,5,70
4689,Census Tract 2502.05,1450,2565,12,133,3,422,104,896,3312,1116,1737,10,115,2,285,47,589,2369,2320,415,547,197,218,508,829,605,1026,344,1097,487,224,164,87,446,261,1791,1625,757,868,166,87,22,57
2993,Census Tract 2718.02,39,2891,3,1,0,14,45,42,2180,34,2100,3,1,0,12,30,30,1400,1593,235,324,121,133,366,352,331,780,351,691,207,59,89,40,395,178,1389,963,472,491,426,102,30,294
3222,Census Tract 601,1104,1543,59,61,8,317,130,818,2389,947,995,47,59,8,244,89,640,1652,1570,288,319,107,119,401,825,445,562,156,645,280,114,79,40,286,150,1298,1001,500,501,297,119,52,126
2208,Census Tract 103,1963,94,0,64,0,55,32,154,2015,1819,73,0,57,0,43,23,116,1138,1070,105,55,12,21,269,941,294,352,159,358,267,74,32,8,59,21,1330,1117,714,403,213,56,68,89
3009,Census Tract 102,2269,292,27,72,0,239,110,489,2593,2064,202,18,59,0,170,80,356,1523,1486,196,133,52,35,270,1054,434,557,278,591,397,134,75,28,119,41,1564,1369,980,389,195,55,30,110
5116,Census Tract 2602.01,629,4170,19,124,1,49,124,122,3920,573,3152,13,87,1,24,70,68,2393,2723,400,446,148,202,658,817,697,1348,400,1108,445,182,138,68,525,337,2395,2151,710,1441,244,138,29,77
4754,Census Tract 2709.02,272,4369,10,17,0,16,70,58,3919,269,3552,10,17,0,16,55,50,2031,2723,232,305,136,162,1294,438,424,1118,645,1005,498,108,70,22,437,150,1484,1417,1220,197,67,18,11,38
3022,Census Tract 101,2742,125,8,66,4,36,41,102,2827,2584,114,7,63,3,26,30,86,1406,1616,103,47,24,21,311,1137,359,584,436,520,403,89,38,9,79,21,1728,1530,1064,466,198,55,54,89
4043,Census Tract 2709.01,81,3860,7,18,0,21,56,50,3140,57,3007,5,16,0,18,37,41,1799,2244,261,283,141,218,534,508,469,995,634,1065,426,109,92,38,547,242,1759,1628,889,739,131,67,22,42
4992,Census Tract 2708.02,202,4617,7,33,4,21,108,81,3858,195,3539,7,28,2,14,73,56,2210,2782,311,426,212,185,679,690,571,1482,436,1254,525,175,118,43,611,308,2231,2060,1043,1017,171,111,22,38
